Date,Week Number ,Influenza[it],Febbre[it],
2008-01-01,1,989,2395,
2008-01-08,2,962,2553,
2008-01-15,3,1029,2309,
2008-01-22,4,1031,2399,
2008-01-29,5,1021,2419,
2008-02-05,6,1010,2666,
2008-02-12,7,1019,2385,
2008-02-19,8,1080,2827,
2008-02-26,9,854,2262,
2008-03-04,10,647,1780,
2008-03-11,11,629,2013,
2008-03-18,12,443,1601,
2008-03-25,13,541,1845,
2008-04-01,14,495,1604,
2008-04-08,15,455,1693,
2008-04-15,16,474,1856,
2008-04-22,17,380,1488,
2008-04-29,18,384,1551,
2008-05-06,19,390,1647,
2008-05-13,20,417,1716,
2008-05-20,21,411,1718,
2008-05-27,22,324,1861,
2008-06-03,23,365,1691,
2008-06-10,24,370,1649,
2008-06-17,25,344,1777,
2008-06-24,26,279,1727,
2008-07-01,27,305,1570,
2008-07-08,28,298,1524,
2008-07-15,29,278,1459,
2008-07-22,30,237,1555,
2008-07-29,31,189,1612,
2008-08-05,32,179,1304,
2008-08-12,33,202,1308,
2008-08-19,34,253,1571,
2008-08-26,35,351,1951,
2008-09-02,36,386,2119,
2008-09-09,37,494,2090,
2008-09-16,38,1474,2229,
2008-09-23,39,927,2774,
2008-09-30,40,1035,2806,
2008-10-07,41,1022,2584,
2008-10-14,42,844,2533,
2008-10-21,43,701,2062,
2008-10-28,44,821,2269,
2008-11-04,45,947,2350,
2008-11-11,46,1116,2470,
2008-11-18,47,1141,2817,
2008-11-25,48,1157,2679,
2008-12-02,49,1117,2587,
2008-12-09,50,1272,3082,
2008-12-16,51,1021,3017,
2008-12-23,52,1223,3164,
2008-12-30,53,1440,3684,
2009-01-06,54,1921,4445,
2009-01-13,55,2403,4641,
2009-01-20,56,2046,4806,
2009-01-27,57,1688,4755,
2009-02-03,58,1526,4853,
2009-02-10,59,1204,4074,
2009-02-17,60,1205,4188,
2009-02-24,61,1201,4243,
2009-03-03,62,989,4025,
2009-03-10,63,912,3723,
2009-03-17,64,926,3730,
2009-03-24,65,897,3890,
2009-03-31,66,736,3540,
2009-04-07,67,511,2648,
2009-04-14,68,562,2969,
2009-04-21,69,3089,3175,
2009-04-28,70,4580,2830,
2009-05-05,71,1726,3122,
2009-05-12,72,1225,3090,
2009-05-19,73,1191,2923,
2009-05-26,74,710,2612,
2009-06-02,75,622,2688,
2009-06-09,76,804,2672,
2009-06-16,77,630,2647,
2009-06-23,78,589,2501,
2009-06-30,79,746,2445,
2009-07-07,80,771,2486,
2009-07-14,81,3381,2616,
2009-07-21,82,3393,2432,
2009-07-28,83,1628,2412,
2009-08-04,84,845,2147,
2009-08-11,85,621,2108,
2009-08-18,86,713,2289,
2009-08-25,87,1875,2725,
2009-09-01,88,3553,3450,
2009-09-08,89,3261,3476,
2009-09-15,90,2410,3010,
2009-09-22,91,0,0,
2009-09-29,92,1307,2591,
2009-10-06,93,1886,3617,
2009-10-13,94,1594,3288,
2009-10-20,95,2658,5631,
2009-10-27,96,5210,6249,
2009-11-03,97,8851,8004,
2009-11-10,98,4650,7109,
2009-11-17,99,2502,4848,
2009-11-24,100,1758,4064,
2009-12-01,101,1283,3074,
2009-12-08,102,913,2995,
2009-12-15,103,903,3038,
2009-12-22,104,879,2933,
2009-12-29,105,867,2985,
2010-01-05,106,964,3352,
2010-01-12,107,919,3591,
2010-01-19,108,748,2881,
2010-01-26,109,997,3946,
2010-02-02,110,1105,3778,
2010-02-09,111,1343,3862,
2010-02-16,112,1131,3882,
2010-02-23,113,797,3229,
2010-03-02,114,800,3429,
2010-03-09,115,737,3180,
2010-03-16,116,708,3255,
2010-03-23,117,637,3047,
2010-03-30,118,576,2775,
2010-04-06,119,778,3011,
2010-04-13,120,695,2787,
2010-04-20,121,648,2851,
2010-04-27,122,538,2846,
2010-05-04,123,570,2799,
2010-05-11,124,559,2598,
2010-05-18,125,654,2634,
2010-05-25,126,568,2624,
2010-06-01,127,542,2764,
2010-06-08,128,337,1470,
2010-06-15,129,413,2195,
2010-06-22,130,379,2074,
2010-06-29,131,325,2271,
2010-07-06,132,164,1271,
2010-07-13,133,257,2191,
2010-07-20,134,381,2719,
2010-07-27,135,325,2785,
2010-08-03,136,321,2803,
2010-08-10,137,329,2590,
2010-08-17,138,411,3068,
2010-08-24,139,472,3374,
2010-08-31,140,689,4022,
2010-09-07,141,692,3830,
2010-09-14,142,810,3857,
2010-09-21,143,1132,4394,
2010-09-28,144,1514,4698,
2010-10-05,145,1636,4481,
2010-10-12,146,1419,4144,
2010-10-19,147,1286,4171,
2010-10-26,148,1066,3834,
2010-11-02,149,1254,4162,
