Date,Influenza[it],
2008-01-01 00,3,
2008-01-01 01,0,
2008-01-01 02,1,
2008-01-01 03,0,
2008-01-01 04,0,
2008-01-01 05,0,
2008-01-01 06,0,
2008-01-01 07,0,
2008-01-01 08,1,
2008-01-01 09,0,
2008-01-01 10,5,
2008-01-01 11,4,
2008-01-01 12,5,
2008-01-01 13,5,
2008-01-01 14,2,
2008-01-01 15,2,
2008-01-01 16,5,
2008-01-01 17,11,
2008-01-01 18,14,
2008-01-01 19,6,
2008-01-01 20,2,
2008-01-01 21,4,
2008-01-01 22,3,
2008-01-01 23,7,
2008-01-02 00,3,
2008-01-02 01,1,
2008-01-02 02,0,
2008-01-02 03,2,
2008-01-02 04,1,
2008-01-02 05,0,
2008-01-02 06,0,
2008-01-02 07,2,
2008-01-02 08,1,
2008-01-02 09,7,
2008-01-02 10,2,
2008-01-02 11,13,
2008-01-02 12,13,
2008-01-02 13,9,
2008-01-02 14,10,
2008-01-02 15,9,
2008-01-02 16,6,
2008-01-02 17,10,
2008-01-02 18,5,
2008-01-02 19,12,
2008-01-02 20,10,
2008-01-02 21,9,
2008-01-02 22,2,
2008-01-02 23,4,
2008-01-03 00,4,
2008-01-03 01,1,
2008-01-03 02,0,
2008-01-03 03,0,
2008-01-03 04,0,
2008-01-03 05,1,
2008-01-03 06,2,
2008-01-03 07,1,
2008-01-03 08,7,
2008-01-03 09,8,
2008-01-03 10,9,
2008-01-03 11,9,
2008-01-03 12,12,
2008-01-03 13,6,
2008-01-03 14,8,
2008-01-03 15,11,
2008-01-03 16,13,
2008-01-03 17,20,
2008-01-03 18,18,
2008-01-03 19,9,
2008-01-03 20,21,
2008-01-03 21,11,
2008-01-03 22,10,
2008-01-03 23,7,
2008-01-04 00,1,
2008-01-04 01,1,
2008-01-04 02,1,
2008-01-04 03,2,
2008-01-04 04,0,
2008-01-04 05,0,
2008-01-04 06,0,
2008-01-04 07,1,
2008-01-04 08,1,
2008-01-04 09,7,
2008-01-04 10,9,
2008-01-04 11,13,
2008-01-04 12,10,
2008-01-04 13,18,
2008-01-04 14,8,
2008-01-04 15,10,
2008-01-04 16,11,
2008-01-04 17,15,
2008-01-04 18,7,
2008-01-04 19,7,
2008-01-04 20,19,
2008-01-04 21,5,
2008-01-04 22,8,
2008-01-04 23,6,
2008-01-05 00,3,
2008-01-05 01,1,
2008-01-05 02,2,
2008-01-05 03,2,
2008-01-05 04,0,
2008-01-05 05,0,
2008-01-05 06,8,
2008-01-05 07,0,
2008-01-05 08,1,
2008-01-05 09,2,
2008-01-05 10,6,
2008-01-05 11,12,
2008-01-05 12,7,
2008-01-05 13,4,
2008-01-05 14,13,
2008-01-05 15,3,
2008-01-05 16,7,
2008-01-05 17,5,
2008-01-05 18,12,
2008-01-05 19,9,
2008-01-05 20,9,
2008-01-05 21,7,
2008-01-05 22,7,
2008-01-05 23,7,
2008-01-06 00,3,
2008-01-06 01,1,
2008-01-06 02,0,
2008-01-06 03,1,
2008-01-06 04,1,
2008-01-06 05,0,
2008-01-06 06,0,
2008-01-06 07,0,
2008-01-06 08,5,
2008-01-06 09,8,
2008-01-06 10,8,
2008-01-06 11,8,
2008-01-06 12,10,
2008-01-06 13,2,
2008-01-06 14,5,
2008-01-06 15,9,
2008-01-06 16,8,
2008-01-06 17,12,
2008-01-06 18,15,
2008-01-06 19,6,
2008-01-06 20,5,
2008-01-06 21,12,
2008-01-06 22,4,
2008-01-06 23,7,
2008-01-07 00,2,
2008-01-07 01,2,
2008-01-07 02,0,
2008-01-07 03,0,
2008-01-07 04,0,
2008-01-07 05,0,
2008-01-07 06,0,
2008-01-07 07,0,
2008-01-07 08,7,
2008-01-07 09,7,
2008-01-07 10,7,
2008-01-07 11,8,
2008-01-07 12,21,
