Date,Pagina principale[it],
2008-01-01 00,16678,
2008-01-01 01,16721,
2008-01-01 02,16298,
2008-01-01 03,15730,
2008-01-01 04,15404,
2008-01-01 05,15056,
2008-01-01 06,14863,
2008-01-01 07,14941,
2008-01-01 08,15245,
2008-01-01 09,16146,
2008-01-01 10,17829,
2008-01-01 11,20093,
2008-01-01 12,21294,
2008-01-01 13,21105,
2008-01-01 14,23352,
2008-01-01 15,24571,
2008-01-01 16,25737,
2008-01-01 17,27493,
2008-01-01 18,28562,
2008-01-01 19,28861,
2008-01-01 20,27403,
2008-01-01 21,26200,
2008-01-01 22,24589,
2008-01-01 23,23815,
2008-01-02 00,21263,
2008-01-02 01,18900,
2008-01-02 02,16860,
2008-01-02 03,15747,
2008-01-02 04,15369,
2008-01-02 05,15202,
2008-01-02 06,15044,
2008-01-02 07,15491,
2008-01-02 08,17696,
2008-01-02 09,21742,
2008-01-02 10,25965,
2008-01-02 11,30720,
2008-01-02 12,31766,
2008-01-02 13,30010,
2008-01-02 14,33899,
2008-01-02 15,6,
2008-01-02 16,35184,
2008-01-02 17,34650,
2008-01-02 18,33688,
2008-01-02 19,31294,
2008-01-02 20,29110,
2008-01-02 21,28688,
2008-01-02 22,27433,
2008-01-02 23,25723,
2008-01-03 00,22455,
2008-01-03 01,19365,
2008-01-03 02,16901,
2008-01-03 03,15865,
2008-01-03 04,15743,
2008-01-03 05,15070,
2008-01-03 06,15202,
2008-01-03 07,16089,
2008-01-03 08,18903,
2008-01-03 09,23129,
2008-01-03 10,27857,
2008-01-03 11,32529,
2008-01-03 12,32691,
2008-01-03 13,30598,
2008-01-03 14,34276,
2008-01-03 15,36689,
2008-01-03 16,36321,
2008-01-03 17,35607,
2008-01-03 18,34037,
2008-01-03 19,30906,
2008-01-03 20,28548,
2008-01-03 21,28231,
2008-01-03 22,27713,
2008-01-03 23,25206,
2008-01-04 00,22362,
2008-01-04 01,19632,
2008-01-04 02,17190,
2008-01-04 03,16100,
2008-01-04 04,15299,
2008-01-04 05,15084,
2008-01-04 06,15108,
2008-01-04 07,15745,
2008-01-04 08,18602,
2008-01-04 09,23420,
2008-01-04 10,28834,
2008-01-04 11,33644,
2008-01-04 12,33771,
2008-01-04 13,31512,
2008-01-04 14,34669,
2008-01-04 15,36759,
2008-01-04 16,35689,
2008-01-04 17,35175,
2008-01-04 18,33570,
2008-01-04 19,31408,
2008-01-04 20,28033,
2008-01-04 21,27370,
2008-01-04 22,26792,
2008-01-04 23,26143,
2008-01-05 00,22269,
2008-01-05 01,19580,
2008-01-05 02,17679,
2008-01-05 03,16391,
2008-01-05 04,15821,
2008-01-05 05,15533,
2008-01-05 06,15783,
2008-01-05 07,15861,
2008-01-05 08,16881,
2008-01-05 09,19645,
