Date,Paracetamolo[it],
2008-01-01 00,7,
2008-01-01 01,3,
2008-01-01 02,2,
2008-01-01 03,1,
2008-01-01 04,8,
2008-01-01 05,2,
2008-01-01 06,0,
2008-01-01 07,1,
2008-01-01 08,3,
2008-01-01 09,4,
2008-01-01 10,9,
2008-01-01 11,9,
2008-01-01 12,22,
2008-01-01 13,5,
2008-01-01 14,14,
2008-01-01 15,15,
2008-01-01 16,10,
2008-01-01 17,21,
2008-01-01 18,25,
2008-01-01 19,13,
2008-01-01 20,17,
2008-01-01 21,24,
2008-01-01 22,11,
2008-01-01 23,12,
2008-01-02 00,6,
2008-01-02 01,4,
2008-01-02 02,6,
2008-01-02 03,5,
2008-01-02 04,0,
2008-01-02 05,1,
2008-01-02 06,0,
2008-01-02 07,0,
2008-01-02 08,2,
2008-01-02 09,20,
2008-01-02 10,23,
2008-01-02 11,16,
2008-01-02 12,33,
2008-01-02 13,31,
2008-01-02 14,44,
2008-01-02 15,29,
2008-01-02 16,33,
2008-01-02 17,34,
2008-01-02 18,27,
2008-01-02 19,31,
2008-01-02 20,20,
2008-01-02 21,33,
2008-01-02 22,25,
2008-01-02 23,18,
2008-01-03 00,7,
2008-01-03 01,5,
2008-01-03 02,1,
2008-01-03 03,2,
2008-01-03 04,0,
2008-01-03 05,0,
2008-01-03 06,0,
2008-01-03 07,2,
2008-01-03 08,6,
2008-01-03 09,26,
2008-01-03 10,25,
2008-01-03 11,13,
2008-01-03 12,47,
2008-01-03 13,35,
2008-01-03 14,34,
2008-01-03 15,32,
2008-01-03 16,41,
2008-01-03 17,39,
2008-01-03 18,37,
2008-01-03 19,15,
2008-01-03 20,36,
2008-01-03 21,19,
2008-01-03 22,17,
2008-01-03 23,20,
2008-01-04 00,40,
2008-01-04 01,11,
2008-01-04 02,3,
2008-01-04 03,2,
2008-01-04 04,5,
2008-01-04 05,1,
2008-01-04 06,0,
2008-01-04 07,0,
2008-01-04 08,10,
2008-01-04 09,23,
2008-01-04 10,12,
2008-01-04 11,51,
2008-01-04 12,42,
2008-01-04 13,59,
2008-01-04 14,44,
2008-01-04 15,43,
2008-01-04 16,32,
2008-01-04 17,36,
2008-01-04 18,32,
2008-01-04 19,45,
2008-01-04 20,10,
2008-01-04 21,30,
2008-01-04 22,18,
2008-01-04 23,24,
2008-01-05 00,8,
2008-01-05 01,16,
2008-01-05 02,4,
2008-01-05 03,5,
2008-01-05 04,2,
2008-01-05 05,1,
2008-01-05 06,0,
2008-01-05 07,2,
2008-01-05 08,4,
2008-01-05 09,17,
2008-01-05 10,24,
2008-01-05 11,27,
2008-01-05 12,30,
2008-01-05 13,30,
2008-01-05 14,17,
2008-01-05 15,43,
2008-01-05 16,16,
2008-01-05 17,29,
2008-01-05 18,41,
2008-01-05 19,32,
2008-01-05 20,24,
2008-01-05 21,17,
2008-01-05 22,24,
2008-01-05 23,28,
2008-01-06 00,6,
2008-01-06 01,5,
2008-01-06 02,1,
2008-01-06 03,1,
2008-01-06 04,0,
2008-01-06 05,2,
2008-01-06 06,1,
2008-01-06 07,3,
2008-01-06 08,8,
2008-01-06 09,8,
2008-01-06 10,25,
2008-01-06 11,14,
2008-01-06 12,16,
2008-01-06 13,22,
2008-01-06 14,21,
2008-01-06 15,23,
2008-01-06 16,21,
2008-01-06 17,14,
2008-01-06 18,26,
2008-01-06 19,38,
2008-01-06 20,24,
2008-01-06 21,19,
2008-01-06 22,13,
2008-01-06 23,12,
2008-01-07 00,5,
2008-01-07 01,2,
2008-01-07 02,9,
2008-01-07 03,2,
2008-01-07 04,1,
2008-01-07 05,1,
2008-01-07 06,0,
2008-01-07 07,6,
2008-01-07 08,7,
2008-01-07 09,14,
2008-01-07 10,19,
2008-01-07 11,37,
2008-01-07 12,29,
2008-01-07 13,22,
2008-01-07 14,25,
2008-01-07 15,30,
2008-01-07 16,36,
2008-01-07 17,27,
2008-01-07 18,44,
2008-01-07 19,35,
2008-01-07 20,33,
2008-01-07 21,27,
2008-01-07 22,23,
2008-01-07 23,24,
2008-01-08 00,3,
2008-01-08 01,2,
2008-01-08 02,0,
2008-01-08 03,2,
2008-01-08 04,1,
2008-01-08 05,0,
2008-01-08 06,0,
2008-01-08 07,3,
2008-01-08 08,11,
2008-01-08 09,16,
2008-01-08 10,26,
2008-01-08 11,27,
2008-01-08 12,39,
2008-01-08 13,25,
2008-01-08 14,15,
2008-01-08 15,33,
2008-01-08 16,39,
2008-01-08 17,28,
2008-01-08 18,26,
2008-01-08 19,22,
2008-01-08 20,25,
2008-01-08 21,21,
2008-01-08 22,23,
2008-01-08 23,20,
2008-01-09 00,7,
2008-01-09 01,7,
2008-01-09 02,3,
2008-01-09 03,2,
2008-01-09 04,5,
2008-01-09 05,0,
2008-01-09 06,0,
2008-01-09 07,5,
2008-01-09 08,7,
2008-01-09 09,19,
2008-01-09 10,13,
2008-01-09 11,35,
2008-01-09 12,22,
2008-01-09 13,31,
2008-01-09 14,31,
2008-01-09 15,25,
2008-01-09 16,23,
2008-01-09 17,34,
2008-01-09 18,31,
2008-01-09 19,19,
2008-01-09 20,25,
2008-01-09 21,17,
2008-01-09 22,19,
2008-01-09 23,9,
2008-01-10 00,12,
2008-01-10 01,5,
2008-01-10 02,1,
2008-01-10 03,1,
2008-01-10 04,1,
2008-01-10 05,4,
2008-01-10 06,1,
2008-01-10 07,6,
2008-01-10 08,9,
2008-01-10 09,14,
2008-01-10 10,24,
2008-01-10 11,33,
2008-01-10 12,25,
2008-01-10 13,23,
2008-01-10 14,29,
2008-01-10 15,26,
2008-01-10 16,32,
2008-01-10 17,24,
2008-01-10 18,29,
2008-01-10 19,24,
2008-01-10 20,18,
2008-01-10 21,21,
2008-01-10 22,27,
2008-01-10 23,13,
2008-01-11 00,6,
2008-01-11 01,5,
2008-01-11 02,3,
2008-01-11 03,4,
2008-01-11 04,3,
2008-01-11 05,0,
2008-01-11 06,0,
2008-01-11 07,1,
2008-01-11 08,7,
2008-01-11 09,15,
2008-01-11 10,21,
2008-01-11 11,33,
2008-01-11 12,25,
2008-01-11 13,34,
2008-01-11 14,21,
2008-01-11 15,24,
2008-01-11 16,24,
2008-01-11 17,37,
2008-01-11 18,38,
2008-01-11 19,23,
2008-01-11 20,14,
2008-01-11 21,32,
2008-01-11 22,22,
2008-01-11 23,15,
2008-01-12 00,6,
2008-01-12 01,5,
2008-01-12 02,2,
2008-01-12 03,0,
2008-01-12 04,2,
2008-01-12 05,3,
2008-01-12 06,0,
2008-01-12 07,5,
2008-01-12 08,4,
2008-01-12 09,8,
2008-01-12 10,12,
2008-01-12 11,13,
2008-01-12 12,8,
2008-01-12 13,8,
2008-01-12 14,21,
2008-01-12 15,17,
2008-01-12 16,16,
2008-01-12 17,33,
2008-01-12 18,29,
2008-01-12 19,26,
2008-01-12 20,22,
2008-01-12 21,11,
2008-01-12 22,11,
2008-01-12 23,15,
2008-01-13 00,6,
2008-01-13 01,2,
2008-01-13 02,5,
2008-01-13 03,4,
2008-01-13 04,4,
2008-01-13 05,1,
2008-01-13 06,1,
2008-01-13 07,0,
2008-01-13 08,2,
2008-01-13 09,15,
2008-01-13 10,16,
2008-01-13 11,20,
2008-01-13 12,13,
2008-01-13 13,14,
2008-01-13 14,16,
2008-01-13 15,17,
2008-01-13 16,10,
2008-01-13 17,28,
2008-01-13 18,19,
2008-01-13 19,19,
2008-01-13 20,17,
2008-01-13 21,21,
2008-01-13 22,18,
2008-01-13 23,8,
2008-01-14 00,12,
2008-01-14 01,3,
2008-01-14 02,3,
2008-01-14 03,2,
2008-01-14 04,2,
2008-01-14 05,1,
2008-01-14 06,1,
2008-01-14 07,2,
2008-01-14 08,4,
2008-01-14 09,31,
2008-01-14 10,26,
2008-01-14 11,16,
2008-01-14 12,24,
2008-01-14 13,27,
2008-01-14 14,16,
2008-01-14 15,23,
2008-01-14 16,18,
2008-01-14 17,31,
2008-01-14 18,35,
2008-01-14 19,18,
2008-01-14 20,15,
2008-01-14 21,28,
2008-01-14 22,25,
2008-01-14 23,26,
2008-01-15 00,4,
2008-01-15 01,1,
2008-01-15 02,2,
2008-01-15 03,2,
2008-01-15 04,2,
2008-01-15 05,3,
2008-01-15 06,0,
2008-01-15 07,2,
2008-01-15 08,11,
2008-01-15 09,11,
2008-01-15 10,43,
2008-01-15 11,32,
2008-01-15 12,22,
2008-01-15 13,10,
2008-01-15 14,23,
2008-01-15 15,24,
2008-01-15 16,22,
2008-01-15 17,23,
2008-01-15 18,28,
2008-01-15 19,18,
2008-01-15 20,16,
2008-01-15 21,20,
2008-01-15 22,28,
2008-01-15 23,12,
2008-01-16 00,11,
2008-01-16 01,6,
2008-01-16 02,3,
2008-01-16 03,0,
2008-01-16 04,2,
2008-01-16 05,0,
2008-01-16 06,6,
2008-01-16 07,2,
2008-01-16 08,4,
2008-01-16 09,18,
2008-01-16 10,18,
2008-01-16 11,17,
2008-01-16 12,25,
2008-01-16 13,35,
2008-01-16 14,17,
2008-01-16 15,23,
2008-01-16 16,23,
2008-01-16 17,14,
2008-01-16 18,52,
2008-01-16 19,14,
2008-01-16 20,22,
2008-01-16 21,37,
2008-01-16 22,11,
2008-01-16 23,12,
2008-01-17 00,10,
2008-01-17 01,4,
2008-01-17 02,5,
2008-01-17 03,3,
2008-01-17 04,0,
2008-01-17 05,0,
2008-01-17 06,2,
2008-01-17 07,1,
2008-01-17 08,11,
2008-01-17 09,27,
2008-01-17 10,20,
2008-01-17 11,20,
2008-01-17 12,30,
2008-01-17 13,26,
2008-01-17 14,17,
2008-01-17 15,24,
2008-01-17 16,30,
2008-01-17 17,11,
2008-01-17 18,26,
2008-01-17 19,7,
2008-01-17 20,22,
2008-01-17 21,21,
2008-01-17 22,25,
2008-01-17 23,14,
2008-01-18 00,9,
2008-01-18 01,3,
2008-01-18 02,0,
2008-01-18 03,0,
2008-01-18 04,0,
2008-01-18 05,3,
2008-01-18 06,3,
2008-01-18 07,2,
2008-01-18 08,10,
2008-01-18 09,14,
2008-01-18 10,20,
2008-01-18 11,20,
2008-01-18 12,15,
2008-01-18 13,20,
2008-01-18 14,19,
2008-01-18 15,19,
2008-01-18 16,18,
2008-01-18 17,23,
2008-01-18 18,24,
2008-01-18 19,33,
2008-01-18 20,22,
2008-01-18 21,13,
2008-01-18 22,15,
2008-01-18 23,21,
2008-01-19 00,7,
2008-01-19 01,18,
2008-01-19 02,7,
2008-01-19 03,0,
2008-01-19 04,1,
2008-01-19 05,0,
2008-01-19 06,0,
2008-01-19 07,0,
2008-01-19 08,5,
2008-01-19 09,13,
2008-01-19 10,19,
2008-01-19 11,13,
2008-01-19 12,11,
2008-01-19 13,14,
2008-01-19 14,17,
2008-01-19 15,20,
2008-01-19 16,22,
2008-01-19 17,32,
2008-01-19 18,11,
2008-01-19 19,12,
2008-01-19 20,14,
2008-01-19 21,12,
2008-01-19 22,14,
2008-01-19 23,23,
2008-01-20 00,7,
2008-01-20 01,1,
2008-01-20 02,2,
2008-01-20 03,0,
2008-01-20 04,7,
2008-01-20 05,0,
2008-01-20 06,0,
2008-01-20 07,0,
2008-01-20 08,4,
2008-01-20 09,9,
2008-01-20 10,18,
2008-01-20 11,6,
2008-01-20 12,18,
2008-01-20 13,6,
2008-01-20 14,15,
2008-01-20 15,22,
2008-01-20 16,14,
2008-01-20 17,19,
2008-01-20 18,20,
2008-01-20 19,22,
2008-01-20 20,28,
2008-01-20 21,11,
2008-01-20 22,154,
2008-01-20 23,47,
2008-01-21 00,17,
2008-01-21 01,7,
2008-01-21 02,3,
2008-01-21 03,2,
2008-01-21 04,2,
2008-01-21 05,1,
2008-01-21 06,0,
2008-01-21 07,12,
2008-01-21 08,19,
2008-01-21 09,35,
2008-01-21 10,48,
2008-01-21 11,47,
2008-01-21 12,50,
2008-01-21 13,32,
2008-01-21 14,47,
2008-01-21 15,40,
2008-01-21 16,58,
2008-01-21 17,40,
2008-01-21 18,44,
2008-01-21 19,29,
2008-01-21 20,28,
2008-01-21 21,21,
2008-01-21 22,14,
2008-01-21 23,11,
2008-01-22 00,5,
2008-01-22 01,2,
2008-01-22 02,1,
2008-01-22 03,0,
2008-01-22 04,2,
2008-01-22 05,1,
2008-01-22 06,2,
2008-01-22 07,1,
2008-01-22 08,25,
2008-01-22 09,19,
2008-01-22 10,25,
2008-01-22 11,21,
2008-01-22 12,20,
2008-01-22 13,30,
2008-01-22 14,45,
2008-01-22 15,23,
2008-01-22 16,26,
2008-01-22 17,35,
2008-01-22 18,38,
2008-01-22 19,31,
2008-01-22 20,17,
2008-01-22 21,14,
2008-01-22 22,19,
2008-01-22 23,28,
2008-01-23 00,6,
2008-01-23 01,3,
2008-01-23 02,5,
2008-01-23 03,1,
