Date,Wikipedia[it],
2008-01-01 00,31,
2008-01-01 01,56,
2008-01-01 02,39,
2008-01-01 03,25,
2008-01-01 04,15,
2008-01-01 05,18,
2008-01-01 06,12,
2008-01-01 07,16,
2008-01-01 08,9,
2008-01-01 09,43,
2008-01-01 10,72,
2008-01-01 11,147,
2008-01-01 12,162,
2008-01-01 13,153,
2008-01-01 14,160,
2008-01-01 15,219,
2008-01-01 16,232,
2008-01-01 17,248,
2008-01-01 18,318,
2008-01-01 19,290,
2008-01-01 20,239,
2008-01-01 21,217,
2008-01-01 22,166,
2008-01-01 23,147,
2008-01-02 00,123,
2008-01-02 01,60,
2008-01-02 02,53,
2008-01-02 03,26,
2008-01-02 04,15,
2008-01-02 05,8,
2008-01-02 06,15,
2008-01-02 07,28,
2008-01-02 08,55,
2008-01-02 09,158,
2008-01-02 10,258,
2008-01-02 11,378,
2008-01-02 12,405,
2008-01-02 13,335,
2008-01-02 14,452,
2008-01-02 15,479,
2008-01-02 16,512,
2008-01-02 17,454,
2008-01-02 18,471,
2008-01-02 19,365,
2008-01-02 20,272,
2008-01-02 21,288,
2008-01-02 22,269,
2008-01-02 23,183,
2008-01-03 00,129,
2008-01-03 01,76,
2008-01-03 02,41,
2008-01-03 03,25,
2008-01-03 04,17,
2008-01-03 05,11,
2008-01-03 06,14,
2008-01-03 07,19,
2008-01-03 08,94,
2008-01-03 09,165,
2008-01-03 10,324,
2008-01-03 11,444,
2008-01-03 12,400,
2008-01-03 13,351,
2008-01-03 14,470,
2008-01-03 15,551,
2008-01-03 16,514,
2008-01-03 17,481,
2008-01-03 18,484,
2008-01-03 19,331,
2008-01-03 20,313,
2008-01-03 21,277,
2008-01-03 22,255,
2008-01-03 23,149,
2008-01-04 00,144,
2008-01-04 01,86,
2008-01-04 02,47,
2008-01-04 03,26,
2008-01-04 04,12,
2008-01-04 05,16,
2008-01-04 06,20,
2008-01-04 07,23,
2008-01-04 08,77,
2008-01-04 09,185,
2008-01-04 10,335,
2008-01-04 11,483,
2008-01-04 12,479,
2008-01-04 13,375,
2008-01-04 14,442,
2008-01-04 15,535,
2008-01-04 16,550,
2008-01-04 17,484,
2008-01-04 18,501,
2008-01-04 19,416,
2008-01-04 20,292,
2008-01-04 21,333,
2008-01-04 22,249,
2008-01-04 23,195,
2008-01-05 00,127,
2008-01-05 01,93,
2008-01-05 02,50,
2008-01-05 03,23,
2008-01-05 04,16,
2008-01-05 05,14,
2008-01-05 06,14,
2008-01-05 07,16,
2008-01-05 08,43,
2008-01-05 09,100,
2008-01-05 10,203,
2008-01-05 11,314,
2008-01-05 12,348,
2008-01-05 13,316,
2008-01-05 14,346,
2008-01-05 15,419,
2008-01-05 16,404,
2008-01-05 17,369,
2008-01-05 18,393,
2008-01-05 19,308,
2008-01-05 20,257,
2008-01-05 21,225,
2008-01-05 22,220,
2008-01-05 23,164,
2008-01-06 00,127,
2008-01-06 01,83,
2008-01-06 02,73,
2008-01-06 03,43,
2008-01-06 04,13,
2008-01-06 05,18,
2008-01-06 06,13,
2008-01-06 07,14,
2008-01-06 08,21,
2008-01-06 09,92,
2008-01-06 10,186,
2008-01-06 11,290,
2008-01-06 12,332,
2008-01-06 13,284,
2008-01-06 14,369,
2008-01-06 15,384,
2008-01-06 16,483,
2008-01-06 17,423,
2008-01-06 18,439,
2008-01-06 19,467,
2008-01-06 20,374,
2008-01-06 21,357,
2008-01-06 22,254,
2008-01-06 23,198,
2008-01-07 00,109,
2008-01-07 01,65,
2008-01-07 02,37,
2008-01-07 03,29,
2008-01-07 04,11,
2008-01-07 05,17,
2008-01-07 06,27,
2008-01-07 07,41,
2008-01-07 08,98,
2008-01-07 09,181,
2008-01-07 10,288,
2008-01-07 11,363,
2008-01-07 12,377,
2008-01-07 13,331,
2008-01-07 14,528,
2008-01-07 15,712,
2008-01-07 16,713,
2008-01-07 17,809,
2008-01-07 18,778,
2008-01-07 19,514,
2008-01-07 20,474,
2008-01-07 21,440,
2008-01-07 22,301,
2008-01-07 23,179,
2008-01-08 00,122,
2008-01-08 01,57,
2008-01-08 02,22,
2008-01-08 03,29,
2008-01-08 04,14,
2008-01-08 05,15,
2008-01-08 06,23,
2008-01-08 07,29,
2008-01-08 08,154,
2008-01-08 09,237,
2008-01-08 10,433,
2008-01-08 11,385,
2008-01-08 12,379,
2008-01-08 13,322,
2008-01-08 14,537,
2008-01-08 15,663,
2008-01-08 16,716,
2008-01-08 17,732,
2008-01-08 18,615,
2008-01-08 19,559,
2008-01-08 20,472,
2008-01-08 21,403,
2008-01-08 22,334,
2008-01-08 23,205,
2008-01-09 00,104,
2008-01-09 01,50,
2008-01-09 02,38,
2008-01-09 03,13,
2008-01-09 04,9,
2008-01-09 05,16,
2008-01-09 06,15,
2008-01-09 07,35,
2008-01-09 08,163,
2008-01-09 09,271,
2008-01-09 10,310,
2008-01-09 11,404,
2008-01-09 12,402,
2008-01-09 13,370,
2008-01-09 14,496,
2008-01-09 15,576,
2008-01-09 16,628,
2008-01-09 17,720,
2008-01-09 18,615,
2008-01-09 19,595,
2008-01-09 20,395,
2008-01-09 21,406,
2008-01-09 22,302,
2008-01-09 23,152,
2008-01-10 00,126,
2008-01-10 01,57,
2008-01-10 02,35,
2008-01-10 03,21,
2008-01-10 04,11,
2008-01-10 05,18,
2008-01-10 06,17,
2008-01-10 07,34,
2008-01-10 08,130,
2008-01-10 09,242,
2008-01-10 10,272,
2008-01-10 11,351,
2008-01-10 12,348,
2008-01-10 13,319,
2008-01-10 14,446,
2008-01-10 15,537,
2008-01-10 16,625,
2008-01-10 17,631,
2008-01-10 18,582,
2008-01-10 19,497,
2008-01-10 20,373,
2008-01-10 21,405,
2008-01-10 22,299,
2008-01-10 23,214,
2008-01-11 00,97,
2008-01-11 01,41,
2008-01-11 02,31,
2008-01-11 03,22,
2008-01-11 04,22,
2008-01-11 05,10,
2008-01-11 06,14,
2008-01-11 07,38,
2008-01-11 08,136,
2008-01-11 09,250,
2008-01-11 10,324,
2008-01-11 11,405,
2008-01-11 12,372,
2008-01-11 13,369,
2008-01-11 14,446,
2008-01-11 15,566,
2008-01-11 16,553,
2008-01-11 17,545,
2008-01-11 18,589,
2008-01-11 19,965,
2008-01-11 20,334,
2008-01-11 21,316,
2008-01-11 22,215,
2008-01-11 23,148,
2008-01-12 00,96,
2008-01-12 01,59,
2008-01-12 02,28,
2008-01-12 03,22,
2008-01-12 04,13,
2008-01-12 05,12,
2008-01-12 06,15,
2008-01-12 07,19,
2008-01-12 08,98,
2008-01-12 09,158,
2008-01-12 10,230,
2008-01-12 11,336,
2008-01-12 12,266,
