#from,to

567549471,156936648

567549471,299558731

567549471,53347502

96075778,17490510

2888302602,16816972

2888302602,361111228

2888302602,14138333

18956303,33950211

18956303,87774052

18956303,28815461

18956303,4106698851

18956303,222206900

18956303,1452034232

18956303,29005683

18956303,122319646

3962265616,2779926533

3962265616,534563976

3962265616,1386338574

3962265616,75616478

3962265616,2479516946

3962265616,56349332

3962265616,3220201621

3962265616,2413022749

3962265616,586887461

3962265616,3303546409

3962265616,26493482

3962265616,3031192491

3962265616,3320582573

3962265616,2795481396

3962265616,555031989

3962265616,45364918

3962265616,18654916

3962265616,422966469

3962265616,299558731

3962265616,200080977

3962265616,15221598

3962265616,6696032

3962265616,328990309

3962265616,90272103

3962265616,1024244078

3962265616,262343673

6815762,633287684

6815762,892149080

6815762,293397557

6815762,97716631

6815762,3138213432

6815762,5047741

47407124,371902119

47407124,35203319

47407124,1949391637

47407124,3482232503

47407124,2960657049

47407124,352254365

2694873111,359572266

2694873111,2207344274

2694873111,116830375

2223669272,1949391637

2223669272,191174438

1481924634,2797602696

1481924634,3585705615

1481924634,2647307792

1481924634,133193500

1481924634,85776157

1481924634,2161371300

1481924634,47922858

1481924634,541894173

1481924634,2786914228

1481924634,1159630645

1481924634,333277752

1481924634,361111228

1481924634,2828992835

1481924634,2745129284

1481924634,16816972

1481924634,3165282255

1481924634,456980432

1481924634,3524244435

1481924634,459961050

1481924634,4352687067

1481924634,3740988263

1481924634,1192615399

1481924634,3072626674

1481924634,2242675709

2779926533,1270063232

2779926533,3320692610

2779926533,2797602696

2779926533,2564289037

2779926533,2158171155

2779926533,1635828884

2779926533,1949391637

2779926533,2297053591

2779926533,4142870296

2779926533,2362717849

2779926533,133193500

2779926533,2799626938

2779926533,26493482

2779926533,499014749

2779926533,534563976

2779926533,2709250490

2779926533,17055162

2779926533,861765444

2779926533,246866759

2779926533,511740616

2779926533,213339721

2779926533,16816972

2779926533,44171091

2779926533,145062108

2779926533,1544327005

2779926533,53223520

2779926533,1024244078

2779926533,43112176

2779926533,2610391793

2779926533,262343673

1971060774,1971435865

1971060774,1970378515

1971060774,1970843323

1971060774,1970424199

416743464,987391748

416743464,2579887878

